company,snap_date,forecast_year,eps,fcf,pdf_url
OTIS,2026-05-31,2026,4.22,1.625,https://s203.q4cdn.com/227649559/files/doc_financials/2026/q1/1Q26-Otis-Earnings-Webcast.pdf
OTIS,2026-05-31,2026,4.220000000000001,1.625,https://s203.q4cdn.com/227649559/files/doc_financials/2026/q1/1Q26-Otis-Earnings-Webcast.pdf
COF,2026-05-31,2026,19.27,,
MU,2026-05-31,2026,58.05,,
GOOGL,2026-05-31,2026,14.22,,
MKL,2026-05-31,2026,113.57,,
DEO,2026-05-31,2026,1.67,,
BAM,2026-05-31,2026,,,
BN,2026-05-31,2026,0.66,,
PM,2026-05-31,2026,8.44,,
ULTA,2026-05-31,2026,28.3,,
MO,2026-05-31,2026,5.64,,
PYPL,2026-05-31,2026,5.22,,
MRSH,2026-05-31,2026,10.34,,
